station_id,latitude,longitude,elevation,state,station_name,gsn_flag,hcn_flag,wmo_id
VM000048900,10.82,106.67,5.0,  ,TAN SON HOA,GSN,   ,48900
VMM00048806,21.333,103.9,676.0,  ,SON LA,   ,   ,48806
VMM00048808,22.667,106.25,243.0,  ,CAO BANG,   ,   ,48808
VMM00048820,21.221,105.807,11.9,  ,NOIBAI INTL,   ,   ,48820
VMM00048825,20.967,105.767,7.9,  ,HA DONG,   ,   ,48825
VMM00048826,20.8,106.633,116.0,  ,PHU LIEN,   ,   ,48826
VMM00048830,21.833,106.767,263.0,  ,LANG SON,   ,   ,48830
VMM00048840,19.75,105.783,5.0,  ,THANH HOA,   ,   ,48840
VMM00048845,18.737,105.671,5.2,  ,VINH,   ,   ,48845
VMM00048848,17.483,106.6,8.0,  ,DONG HOI,   ,   ,48848
VMM00048855,16.044,108.199,10.1,  ,DANANG INTL,GSN,   ,48855
VMM00048887,10.933,108.1,5.0,  ,PHAN THIET,   ,   ,48887
VMM00048914,9.183,105.15,2.0,  ,CA MAU,   ,   ,48914
VMM00048917,10.217,103.967,4.0,  ,PHU QUOC,   ,   ,48917
VMW00040001,9.5833,105.9667,3.0,  ,SOC TRANG,   ,   ,     
VMW00041003,16.05,108.2,7.0,  ,DA NANG,   ,   ,     
VMW00041004,10.3667,107.1,4.3,  ,VUNG TAU,   ,   ,     
VMW00041005,14.0,108.0167,745.2,  ,PLEIKU,   ,   ,     
VMW00041006,10.25,105.95,5.2,  ,VINH LONG,   ,   ,     
VMW00041007,10.05,105.7667,2.1,  ,PHONG DENH,   ,   ,     
VMW00041008,10.8167,106.65,10.1,  ,SAIGON,   ,   ,     
VMW00041009,10.9667,106.8167,14.0,  ,BIEN HOA,   ,   ,     
VMW00041010,12.2333,109.2,9.1,  ,NHA TRANG,   ,   ,48877
VMW00041011,13.7667,109.2167,9.1,  ,QUI NHON,   ,   ,48870
VMW00041013,15.4667,108.7,18.3,  ,KY HA,   ,   ,     
VMW00041014,15.4167,108.7,11.3,  ,CHU LAI,   ,   ,     
VMW00041015,11.9667,109.2333,11.3,  ,CAM RANH BAY,   ,   ,     
VMW00041016,10.0833,105.7333,2.1,  ,BINH THUY,   ,   ,     
VMW00041021,13.9667,108.6667,420.0,  ,AN KHE,   ,   ,     
VMW00041022,11.6167,108.95,17.1,  ,PHAN RANG,   ,   ,     
VMW00041023,16.8167,107.0833,28.0,  ,DONG HA,   ,   ,     
VMW00041024,16.0333,108.25,9.1,  ,MARBLE MTN,   ,   ,     
VMW00041025,12.6667,108.1167,539.2,  ,BAN ME THUOT,   ,   ,     
VMW00041026,11.0,106.7,33.2,  ,PHU LOI,   ,   ,     
VMW00041027,10.9667,106.4833,14.0,  ,CU CHI,   ,   ,     
VMW00041029,11.3,106.7833,55.2,  ,PHUOC VINH,   ,   ,     
VMW00041030,11.2,106.6167,38.1,  ,BEN CAT,   ,   ,     
VMW00041031,10.8,106.9667,44.2,  ,LONG THANH,   ,   ,     
VMW00041032,10.9,106.7333,32.0,  ,DI AN,   ,   ,     
VMW00041033,11.95,108.4167,1506.0,  ,DA LAT,   ,   ,     
VMW00041034,13.05,109.3333,13.1,  ,TUY HOA,   ,   ,     
VMW00041035,13.8333,108.05,765.0,  ,DRAGON MTN,   ,   ,     
VMW00041036,11.3333,106.0833,9.1,  ,TAY NINH,   ,   ,     
VMW00041037,13.95,109.05,34.1,  ,PHU CAT,   ,   ,     
VMW00041038,10.8167,107.2167,250.2,  ,LONG GIAO,   ,   ,     
VMW00041040,16.4,107.7,18.3,  ,HUE,   ,   ,     
VMW00041041,10.75,106.8,3.0,  ,CAT LAI,   ,   ,     
VMW00041042,10.3333,106.3,8.2,  ,DONG TAM,   ,   ,     
VMW00041043,13.8,107.95,539.2,  ,OASIS,   ,   ,     
VMW00041044,13.8333,107.6833,402.0,  ,JACKSON HOLE,   ,   ,     
VMW00041045,11.2833,106.4167,24.1,  ,DAU TIENG,   ,   ,     
VMW00041046,10.55,106.4,11.3,  ,TAN AN,   ,   ,     
VMW00041047,16.65,106.7333,457.2,  ,KHE SANH CWT 5,   ,   ,     
VMW00041048,15.7833,108.05,20.1,  ,AN HOA,   ,   ,     
VMW00041056,16.7667,107.1667,14.0,  ,QUANG TRI,   ,   ,     
VMW00041068,16.6833,106.8333,37.2,  ,VANDERGRIF,   ,   ,     
